area_code,measure
E06000050,6.5547
E07000061,1.8042
E07000070,3.3167
E07000118,2.235
E07000139,1.9986
E07000179,2.528
E07000181,1.8949
E07000196,1.9839
E08000007,5.56085
E08000023,2.91705
E08000031,4.75115
E09000014,4.4381
S12000028,2.13345
S12000050,7.5083
E06000015,4.68145
E07000005,1.7416
E07000046,1.0463
E07000081,2.3162
E07000098,2.0183
E07000143,2.14735
E07000144,2.21905
E07000150,1.4396
E07000172,2.06785
E07000174,2.0609
E08000002,3.5303
E09000027,3.5897
S12000006,2.4467
W06000014,1.8856
W06000022,2.2365
E06000016,6.3691
E06000024,3.8329
E06000027,2.3874
E06000058,7.31225
E07000037,1.60445
E07000106,2.60115
E07000107,2.1575
E07000133,0.8882
E07000163,0.91985
E07000216,2.2877
E07000241,2.14095
E08000017,5.8024
E09000012,4.79465
S12000034,4.38325
W06000006,1.9211
E06000012,2.84885
E06000033,3.2943
E07000041,2.34
E07000043,1.60625
E07000112,1.8744
E07000117,1.75205
E07000132,2.01
E07000165,2.8877
E07000222,2.6433
E08000003,10.23255
S12000008,2.64105
S12000014,3.3502
S12000030,1.7661
S12000042,2.88095
N09000001,2.766
E06000045,4.48665
E07000007,3.16275
E07000129,1.9104
E07000151,1.5181
E07000170,2.3128
E07000217,1.9704
E08000006,5.1096
E08000019,10.2191
E08000033,3.59675
E09000008,6.67915
E09000022,5.95175
E09000029,3.93075
W06000012,2.157
N09000004,2.37785
N09000009,2.8236
E06000056,5.35235
E07000078,2.00705
E07000082,1.93445
E07000105,2.3387
E07000126,2.1347
E07000138,1.81195
E07000148,2.46485
E07000149,2.2859
E07000177,2.87455
E07000225,1.9553
E07000227,2.4598
E08000025,18.4122
E08000028,5.86325
E08000036,6.3239
N09000003,6.4665
E06000001,1.79365
E06000010,4.80765
E06000017,0.64875
E07000047,0.8346
E07000066,3.5214
E07000068,1.4258
E07000091,2.791
E07000092,1.9003
E07000153,1.9133
E07000164,1.46735
E08000010,6.20925
E09000006,5.88335
E09000015,4.4088
S12000041,1.9927
W06000003,1.35475
E06000032,4.01605
E06000044,3.8793
E07000073,1.75415
E07000173,2.2033
E07000175,2.1402
E07000192,1.86945
E07000195,2.27385
E07000228,2.78435
E07000242,2.72265
E09000004,4.3628
E09000023,5.13885
S12000023,0.31055
S12000036,10.05905
W06000001,0.7559
N09000007,2.76105
E06000006,2.6666
E06000034,3.3202
E07000109,1.96435
E07000115,2.34205
E07000127,2.0904
E07000134,1.862
E07000147,1.34855
E07000194,1.90605
E07000208,1.5168
E07000226,2.1841
E08000005,4.06425
E08000008,4.27185
E09000009,6.3798
S12000049,12.8473
E06000007,4.184
E06000018,5.8684
E06000031,4.0019
E06000035,5.0725
E07000009,1.49495
E07000045,2.1917
E07000083,1.608
E07000128,1.99245
E07000215,1.6085
E07000218,1.1614
E07000243,1.6207
E08000013,3.61405
S12000005,1.0882
S12000048,2.6005
W06000011,3.4684
E06000037,2.73435
E06000047,9.9167
E07000044,1.3607
E07000071,3.5524
E07000084,3.21505
E07000116,2.04955
E07000176,2.268
E09000017,5.4784
