area_code,measure
E02000236,84.7
E02000237,84.5
E02000238,67
E02000239,68.5
E02000240,68.2
E02000241,68.5
E02000242,67.7
E02000243,65.3
E02000244,64.4
E02000245,66.3
E02000246,68.4
E02000247,66.5
E02000248,61.5
E02000249,68.5
E02000250,78.7
E02000251,70.5
E02000252,57.9
E02000253,67.2
E02000254,71.2
E02000255,72.6
E02000256,71.4
E02000257,68.7
E02000258,61
E02000259,72.9
E02000260,71.6
E02000261,59.2
E02000262,64.2
E02000263,70.6
E02000264,67.8
E02000265,69.4
E02000266,68.5
E02000267,72.3
E02000268,73
E02000269,74.5
E02000270,68.1
E02000271,73.9
E02000272,78.1
E02000274,69.3
E02000275,73.5
E02000276,73.4
E02000277,65
E02000278,65.3
E02000279,63
E02000280,79.8
E02000281,69.9
E02000282,62.5
E02000283,66.1
E02000284,78.5
E02000285,81.8
E02000286,80.3
E02000287,79.7
E02000288,65.8
E02000289,80.4
E02000290,62
E02000291,70
E02000292,70.4
E02000293,83.1
E02000294,63
E02000295,73.4
E02000296,68.9
E02000297,78.6
E02000298,80.9
E02000299,56.9
E02000300,59
E02000301,58.4
E02000302,70
E02000303,60.6
E02000304,79.5
E02000305,69.6
E02000306,60.5
E02000307,62.8
E02000308,64
E02000309,56.6
E02000311,63.6
E02000312,64.4
E02000313,66.7
E02000314,56.7
E02000315,66.7
E02000316,69
E02000317,71.5
E02000318,66.5
E02000319,66.2
E02000320,68.8
E02000321,67.4
E02000323,65.4
E02000324,71.8
E02000326,75.4
E02000327,68.7
E02000328,79.1
E02000329,75.8
E02000331,72.6
E02000332,76.1
E02000333,81.4
E02000334,75.4
E02000335,84
E02000337,74
E02000339,82.9
E02000340,78.4
E02000341,68.3
E02000342,72.2
E02000343,72.9
E02000344,80.9
E02000345,45.4
E02000346,65.8
E02000347,50.5
E02000348,47.7
E02000350,62
E02000351,69.6
E02000352,68.8
E02000353,74.6
E02000354,64.7
E02000355,70.8
E02000356,74
E02000357,60.4
E02000358,66.3
E02000359,67.4
E02000360,64.7
E02000361,67
E02000362,66.1
E02000363,61.9
E02000364,70.1
E02000365,67.9
E02000366,67.6
E02000367,67.3
E02000368,65.4
E02000369,66.1
E02000370,64.7
E02000371,57.9
E02000372,56.4
E02000373,53.8
E02000374,60.8
E02000375,59.4
E02000376,59.7
E02000377,61.8
E02000378,60.7
E02000379,70.3
E02000380,68.5
E02000381,62.5
E02000382,68.8
E02000383,60.8
E02000384,63.8
E02000385,61.5
E02000386,57.2
E02000387,61.7
E02000388,65.1
E02000389,67.9
E02000390,61.9
E02000391,68.6
E02000392,65.9
E02000393,66.2
E02000394,64.2
E02000395,71.6
E02000396,68.8
E02000397,62.1
E02000398,55.2
E02000400,66.6
E02000401,60.9
E02000402,59
E02000403,58.6
E02000404,56.4
E02000405,81.6
E02000406,59.8
E02000407,57.4
E02000408,58
E02000409,63.4
E02000410,80.8
E02000411,60.2
E02000412,59.7
E02000413,79
E02000414,58.8
E02000415,60.3
E02000416,71.5
E02000417,81.8
E02000418,83.1
E02000419,62.1
E02000420,64.2
E02000421,60.4
E02000422,57.4
E02000423,59.3
E02000424,74.5
E02000425,47.2
E02000426,78.9
E02000427,62.8
E02000428,59.6
E02000429,79.7
E02000430,75.9
E02000431,79.8
E02000432,68.3
E02000433,75.9
E02000434,69.9
E02000435,73.5
E02000436,86.7
E02000437,73.9
E02000438,77.2
E02000439,61.6
E02000440,74.8
E02000441,79.9
E02000442,59
E02000443,64.9
E02000444,66.9
E02000445,64.9
E02000447,78.4
E02000448,85.1
E02000449,64.3
E02000451,82.1
E02000452,62.7
E02000453,70
E02000454,84.7
E02000455,69
E02000456,71.6
E02000457,77.1
E02000459,69.5
E02000460,71
E02000461,70.3
E02000462,70.1
E02000463,71.8
E02000464,73.3
E02000465,69.6
E02000466,74.9
E02000467,67.3
E02000468,76.3
E02000469,71.4
E02000470,80.1
E02000471,84.7
E02000472,79
E02000473,82.2
E02000474,74.9
E02000475,82.8
E02000476,71.6
E02000477,84.7
E02000478,88
E02000479,72.2
E02000480,70.9
E02000481,85.6
E02000482,89.3
E02000483,83
E02000484,83.3
E02000485,83.4
E02000486,83.6
E02000487,89.3
E02000488,86.6
E02000489,78.4
E02000490,78
E02000491,72.9
E02000492,81.4
E02000493,72
E02000494,82.4
E02000495,74.5
E02000496,81.7
E02000497,81.6
E02000498,84.7
E02000499,85.2
E02000500,83.5
E02000501,84.4
E02000502,79.2
E02000503,83.8
E02000504,87.3
E02000506,84.7
E02000507,79.4
E02000508,67.5
E02000509,58.5
E02000510,77.2
E02000511,76.8
E02000512,72.3
E02000513,69.6
E02000514,71.2
E02000515,69.8
E02000516,70.7
E02000517,70.4
E02000518,74.5
E02000519,71.2
E02000520,68.5
E02000521,68.5
E02000522,70.5
E02000523,67.6
E02000524,57
E02000525,68.4
E02000526,75.4
E02000528,70.6
E02000529,72
E02000530,69.3
E02000531,73.1
E02000532,75.7
E02000533,76.4
E02000534,72.2
E02000535,70.6
E02000536,69
E02000537,64.8
E02000538,68.8
E02000539,74.6
E02000540,67.6
E02000541,65.8
E02000542,64.5
E02000543,62.3
E02000544,74.4
E02000545,73.8
E02000546,69.6
E02000547,69.9
E02000548,70.8
E02000549,70
E02000550,67.7
E02000551,72
E02000552,68.9
E02000553,76.6
E02000554,65.7
E02000555,69.4
E02000556,65.9
E02000557,68.8
E02000558,61
E02000559,72
E02000560,63.8
E02000561,69.6
E02000562,71
E02000563,65.6
E02000564,65.1
E02000565,65.1
E02000566,70.4
E02000567,70.6
E02000568,59.9
E02000569,68.6
E02000570,70.1
E02000571,68
E02000572,61.4
E02000573,66.6
E02000574,58.5
E02000575,60.4
E02000576,62.7
E02000577,59.2
E02000578,62.7
E02000579,65
E02000580,61.1
E02000581,62.3
E02000582,64.6
E02000583,68.7
E02000584,68.2
E02000585,63.2
E02000586,60.3
E02000587,64.4
E02000588,61
E02000589,56
E02000590,64.9
E02000591,58.6
E02000592,61.6
E02000593,60.8
E02000594,69.8
E02000595,69.1
E02000596,66.6
E02000597,65.7
E02000598,82
E02000599,72.1
E02000600,70.5
E02000601,71
E02000602,68
E02000603,73.2
E02000604,77.5
E02000605,80.6
E02000606,68.6
E02000607,75.3
E02000608,73.1
E02000609,79.6
E02000610,78.5
E02000611,87
E02000612,84.2
E02000613,83
E02000614,76.7
E02000615,82.8
E02000616,85
E02000617,81.9
E02000619,66.1
E02000620,66.6
E02000621,64.2
E02000622,65.1
E02000623,63.3
E02000624,64.8
E02000625,61.6
E02000626,57.8
E02000627,63.2
E02000628,60
E02000629,69.6
E02000630,70
E02000631,71.5
E02000632,68.7
E02000633,63.8
E02000634,65
E02000635,69.1
E02000636,74.2
E02000637,69.9
E02000638,64.7
E02000639,63.6
E02000640,73.2
E02000641,61.4
E02000642,72.8
E02000643,69.2
E02000644,70.1
E02000645,73
E02000646,69.1
E02000647,71.3
E02000648,61.8
E02000649,67.5
E02000650,67.1
E02000651,67.5
E02000652,60.3
E02000653,65.7
E02000654,62.9
E02000655,63.8
E02000657,64.3
E02000658,67.8
E02000659,68.5
E02000660,68.2
E02000661,73.8
E02000662,63.4
E02000663,70.5
E02000664,64.3
E02000665,71.7
E02000666,72.9
E02000667,76.5
E02000668,75.6
E02000669,69.5
E02000670,61.9
E02000671,75.1
E02000672,66.9
E02000673,77
E02000674,69.3
E02000675,72
E02000676,74
E02000677,67.8
E02000678,65.9
E02000679,71.7
E02000680,71
E02000681,65
E02000682,64.5
E02000683,65
E02000685,70
E02000686,62.1
E02000687,71.4
E02000689,76.8
E02000690,74.8
E02000691,74
E02000692,70.6
E02000693,68.6
E02000694,73.3
E02000695,64.8
E02000696,64.5
E02000697,75.3
E02000698,76.3
E02000699,77.4
E02000700,65.6
E02000701,66
E02000702,66.1
E02000703,80
E02000704,72.5
E02000705,65.9
E02000706,65.2
E02000707,63.7
E02000708,76.1
E02000709,80.7
E02000710,71.6
E02000711,68.5
E02000712,73.5
E02000713,81
E02000714,61.6
E02000715,64
E02000716,62.6
E02000717,64.1
E02000718,63.6
E02000719,57.4
E02000720,63.2
E02000721,60.7
E02000722,56
E02000723,61.2
E02000724,61.9
E02000725,58.2
E02000726,67
E02000727,61.7
E02000728,61.3
E02000729,59.3
E02000730,60.8
E02000731,61.9
E02000732,66.6
E02000733,57.7
E02000734,61.2
E02000735,62.1
E02000736,62.8
E02000737,65.3
E02000738,64.1
E02000739,58.8
E02000740,60.6
E02000741,62.5
E02000742,61.1
E02000743,61.4
E02000744,59.3
E02000745,57.9
E02000746,59.7
E02000747,65
E02000748,51.9
E02000749,59.6
E02000750,66.3
E02000751,83.8
E02000752,68.3
E02000753,67.3
E02000754,74.7
E02000755,74.3
E02000756,70.4
E02000757,78.8
E02000758,77.2
E02000759,74.1
E02000760,72.1
E02000762,77.1
E02000763,72.6
E02000764,81.5
E02000765,70.7
E02000767,71
E02000768,82.6
E02000769,69.7
E02000770,72.3
E02000772,67.7
E02000773,70.8
E02000774,66.8
E02000776,67.8
E02000777,79.1
E02000779,59.1
E02000780,60.3
E02000781,69.5
E02000782,60.6
E02000783,59.8
E02000784,74
E02000785,79.3
E02000786,74.3
E02000787,74.4
E02000788,79.4
E02000789,76.3
E02000790,80.6
E02000791,67.9
E02000792,77
E02000793,80.5
E02000794,81.6
E02000795,79.6
E02000796,78.8
E02000797,78.5
E02000798,80.5
E02000799,78.6
E02000800,77
E02000801,84.4
E02000802,84.3
E02000803,80.1
E02000804,83.5
E02000805,79.6
E02000806,84.6
E02000807,70.7
E02000808,62
E02000809,69.1
E02000810,68.6
E02000812,63.3
E02000813,67.1
E02000814,65.7
E02000815,65.9
E02000816,67.1
E02000817,68.3
E02000818,67
E02000819,66.3
E02000820,63.3
E02000821,59
E02000822,62
E02000823,65.7
E02000824,60.9
E02000825,61.5
E02000826,65.5
E02000827,66.4
E02000828,63.3
E02000829,66.9
E02000830,72.5
E02000831,70.6
E02000832,67.4
E02000833,68.5
E02000834,78.1
E02000835,75.1
E02000836,78.8
E02000837,84.2
E02000838,74.9
E02000839,73.2
E02000840,73.9
E02000841,73.4
E02000842,82.9
E02000843,80.1
E02000844,78
E02000845,79.8
E02000846,81.6
E02000847,85.3
E02000848,85
E02000849,82.3
E02000850,83.1
E02000851,72.6
E02000852,80.9
E02000853,81
E02000854,84.7
E02000855,87.4
E02000856,81.3
E02000857,76.2
E02000858,72.6
E02000859,84.5
E02000860,75.9
E02000861,88
E02000863,84.4
E02000864,71.3
E02000865,68.6
E02000866,72.4
E02000867,69.7
E02000868,71
E02000869,71.1
E02000870,69.8
E02000871,66.5
E02000872,69.5
E02000873,56.9
E02000874,65.4
E02000875,68.8
E02000876,64
E02000877,68.4
E02000878,58.6
E02000879,69.6
E02000880,68.1
E02000881,69.1
E02000882,70.9
E02000883,66.7
E02000884,63.9
E02000885,68.9
E02000886,71.3
E02000887,67.8
E02000888,68.4
E02000889,70.8
E02000890,75.1
E02000891,67.7
E02000893,67.6
E02000894,67.6
E02000895,73.4
E02000896,78.7
E02000897,73.2
E02000898,75.5
E02000899,70.7
E02000900,65.4
E02000901,80.6
E02000902,69.7
E02000903,65
E02000904,67.2
E02000905,66.7
E02000906,66.1
E02000907,64.2
E02000908,66.8
E02000909,72.9
E02000910,68.3
E02000911,66.5
E02000912,65.8
E02000913,64.4
E02000914,59
E02000915,66.6
E02000916,62.5
E02000917,61.5
E02000918,64.4
E02000919,61.2
E02000920,60.6
E02000921,57.7
E02000922,58.6
E02000923,69.4
E02000924,64.9
E02000925,64.2
E02000926,69.1
E02000927,70.9
E02000928,73.6
E02000929,61.9
E02000930,66.4
E02000931,73.9
E02000932,69.9
E02000933,70
E02000934,70.4
E02000935,57.7
E02000936,63.9
E02000937,77.6
E02000938,64.5
E02000939,81.6
E02000940,67.1
E02000941,66.3
E02000942,76.2
E02000943,75.2
E02000944,65.3
E02000945,58.6
E02000946,70.4
E02000947,77.7
E02000948,73.5
E02000949,80.3
E02000950,67.9
E02000951,73.5
E02000952,74.8
E02000953,74.2
E02000954,71.1
E02000955,68
E02000956,65.1
E02000957,67
E02000958,73.5
E02000959,67.8
E02000960,63
E02000961,62.7
E02000962,61.6
E02000963,64.4
E02000964,61.5
E02000965,62.6
E02000966,63.7
E02000967,57.1
E02000968,62.6
E02000969,60.2
E02000970,60.5
E02000971,59.5
E02000972,62.3
E02000973,63.3
E02000974,62.8
E02000975,56.3
E02000976,54.8
E02000977,66.7
E02000978,62.7
E02000979,62
E02000980,66.8
E02000981,66.3
E02000982,66.1
E02000983,67.9
E02000984,90.5
E02000985,90.3
E02000986,86.1
E02000987,84.1
E02000988,78.1
E02000989,89
E02000990,86.6
E02000991,83.1
E02000992,88.6
E02000993,73.6
E02000994,71.6
E02000995,82.8
E02000996,74.4
E02000997,85.8
E02000998,69.4
E02000999,68.4
E02001000,77
E02001001,78.1
E02001002,80.5
E02001003,87.2
E02001004,69
E02001005,68.7
E02001006,73.6
E02001007,85.2
E02001008,72.8
E02001009,76.5
E02001010,75
E02001011,88.8
E02001012,76.5
E02001013,86.8
E02001014,83.8
E02001015,78.3
E02001016,73.7
E02001017,81.8
E02001018,87.3
E02001019,87.2
E02001020,91.8
E02001021,90.6
E02001022,83
E02001023,83.9
E02001024,87.2
E02001025,76.4
E02001026,70.4
E02001027,80.2
E02001028,90.2
E02001029,75.3
E02001030,87.1
E02001031,79.8
E02001032,82
E02001033,78.2
E02001034,73.1
E02001035,88
E02001036,79
E02001037,87.4
E02001038,79.5
E02001039,75.8
E02001040,83.4
E02001041,78.8
E02001042,81.2
E02001043,80.1
E02001044,72.5
E02001045,71.7
E02001046,69
E02001047,71.6
E02001048,70.7
E02001049,75.9
E02001050,61.9
E02001051,67.3
E02001052,62.4
E02001053,62.2
E02001055,69.4
E02001056,65.8
E02001057,73.5
E02001059,65.9
E02001061,66.3
E02001062,55
E02001063,50.2
E02001064,67.2
E02001065,66.7
E02001066,58.6
E02001067,63.9
E02001068,54.2
E02001069,54.6
E02001070,58.6
E02001071,65.5
E02001072,67.7
E02001073,80.8
E02001074,67.5
E02001075,70
E02001076,66.5
E02001077,81.9
E02001078,76.7
E02001079,69.2
E02001080,69.9
E02001081,83.1
E02001082,75.6
E02001083,75.4
E02001084,76.4
E02001085,69.5
E02001086,71.3
E02001087,82.5
E02001088,73.4
E02001089,80.7
E02001090,82.8
E02001091,80.7
E02001092,73.6
E02001093,70.7
E02001094,68.2
E02001095,73.2
E02001096,75.6
E02001097,72.9
E02001098,85.6
E02001099,80.7
E02001100,84.1
E02001101,86.9
E02001102,83.6
E02001103,90.3
E02001104,80.5
E02001105,84.2
E02001106,82.1
E02001107,77.9
E02001108,70.6
E02001109,76.2
E02001110,90.4
E02001111,68.2
E02001112,86.3
E02001113,72.2
E02001114,79
E02001115,82.3
E02001116,67.7
E02001117,88.7
E02001118,89.9
E02001119,66.7
E02001121,62.8
E02001123,74.4
E02001124,72.6
E02001125,77.3
E02001126,67.7
E02001127,71.4
E02001128,79
E02001129,75.7
E02001130,84.3
E02001131,82.5
E02001132,84.2
E02001133,86.5
E02001134,87.7
E02001135,74.7
E02001136,80.1
E02001137,86.2
E02001138,87.9
E02001139,70.8
E02001140,74.9
E02001141,67.6
E02001142,86.9
E02001143,72.6
E02001144,83.5
E02001145,85.8
E02001146,69.6
E02001147,75.5
E02001148,79.3
E02001149,77.2
E02001150,76.6
E02001151,83.9
E02001152,74.9
E02001153,71
E02001154,76.5
E02001155,78
E02001156,83.8
E02001157,67.9
E02001158,72.9
E02001159,77.3
E02001160,72.6
E02001161,80.6
E02001162,78.7
E02001163,83.7
E02001164,66
E02001165,79.5
E02001166,57.9
E02001167,64.2
E02001168,77.6
E02001169,88
E02001170,88.8
E02001171,84.5
E02001172,56
E02001173,61.4
E02001174,79.7
E02001175,73.5
E02001176,80.4
E02001177,71.4
E02001178,68.7
E02001179,68.5
E02001180,58.6
E02001181,70
E02001182,70.8
E02001183,72.8
E02001184,69.8
E02001185,79.1
E02001186,79.4
E02001187,82.6
E02001188,77.1
E02001189,85.1
E02001190,75.3
E02001191,88.1
E02001192,84.8
E02001193,80.4
E02001194,88
E02001195,86.6
E02001196,88.4
E02001197,87.1
E02001198,83.9
E02001199,88.6
E02001200,75.4
E02001201,85.3
E02001202,79.6
E02001203,92.1
E02001204,82.5
E02001205,82.8
E02001206,88
E02001207,88.1
E02001208,85.7
E02001209,82.8
E02001210,79.5
E02001211,88.2
E02001212,75.3
E02001213,87.2
E02001214,86.1
E02001215,89.5
E02001216,88.1
E02001217,83.9
E02001218,89
E02001219,91.7
E02001220,87.6
E02001221,91.2
E02001222,86.6
E02001223,90.1
E02001224,91.2
E02001225,89.4
E02001226,86
E02001227,91.8
E02001228,91.2
E02001229,85.4
E02001230,86.3
E02001231,83.5
E02001232,77.5
E02001233,80.4
E02001234,77.2
E02001235,80.9
E02001236,77.5
E02001237,82
E02001238,83.6
E02001239,81
E02001240,80.5
E02001241,72.1
E02001242,86.3
E02001243,86.9
E02001244,87.8
E02001245,80.6
E02001246,82
E02001247,80.7
E02001248,81
E02001249,80.3
E02001250,87.5
E02001251,85.9
E02001252,86.5
E02001253,82.9
E02001254,83
E02001255,74.8
E02001256,79.2
E02001257,80.7
E02001258,88.7
E02001259,66.6
E02001260,86
E02001261,73.6
E02001262,75
E02001263,89.4
E02001264,80.1
E02001265,85.1
E02001266,80.1
E02001267,86.2
E02001268,89.8
E02001269,78
E02001270,86.7
E02001271,84.3
E02001272,87.9
E02001273,83.6
E02001274,88.9
E02001275,73
E02001276,82.7
E02001277,78.3
E02001278,88.8
E02001279,90.4
E02001280,83.5
E02001281,90.4
E02001282,84.8
E02001283,84.9
E02001284,88.4
E02001285,87.8
E02001286,86.7
E02001287,89.1
E02001288,89.3
E02001289,91
E02001290,88.9
E02001291,84.4
E02001292,85.4
E02001293,87.1
E02001294,82.1
E02001295,76.7
E02001296,71.8
E02001297,83.5
E02001298,75.8
E02001299,84.7
E02001300,82.2
E02001301,80.2
E02001302,83.7
E02001303,76.6
E02001304,89.6
E02001305,87
E02001306,87.6
E02001307,91.1
E02001308,84.8
E02001309,84.2
E02001310,79.1
E02001311,82
E02001312,78.8
E02001313,77
E02001314,86.8
E02001315,85.5
E02001316,71.9
E02001317,82.8
E02001318,85.6
E02001319,78.8
E02001320,81.5
E02001321,87
E02001322,87.7
E02001323,83.9
E02001324,82.5
E02001325,88.3
E02001326,87.9
E02001327,69.5
E02001328,80.7
E02001329,72.7
E02001330,73.3
E02001331,72.3
E02001332,71
E02001333,78
E02001334,70
E02001335,85
E02001336,68
E02001337,77.5
E02001338,76.6
E02001339,78.4
E02001340,83.8
E02001341,72.5
E02001342,86
E02001343,85.2
E02001344,78.8
E02001345,83.6
E02001346,70.7
E02001347,78.3
E02001348,77.5
E02001349,76.2
E02001350,73.7
E02001351,66.6
E02001352,72
E02001353,81.9
E02001354,73.2
E02001355,72
E02001356,69.4
E02001357,70.4
E02001358,66.1
E02001359,81.1
E02001360,66.2
E02001361,74.2
E02001362,79.7
E02001363,70.3
E02001364,68
E02001365,60.2
E02001366,70
E02001367,85.2
E02001368,70.4
E02001369,68.5
E02001370,63.6
E02001371,72.3
E02001372,80.5
E02001373,73.4
E02001374,57.4
E02001375,77.3
E02001376,55.6
E02001377,46.9
E02001378,77.2
E02001380,84.2
E02001381,61.3
E02001382,86.1
E02001383,58.4
E02001384,68.6
E02001385,52.5
E02001386,76.3
E02001387,87.8
E02001388,80.2
E02001389,68.7
E02001390,67.4
E02001391,72.4
E02001392,87.6
E02001393,87.1
E02001394,77.1
E02001395,85.4
E02001396,75.3
E02001397,83.8
E02001398,77.1
E02001399,89
E02001400,80.7
E02001401,83.5
E02001402,85.3
E02001403,73.2
E02001404,70.5
E02001405,64.4
E02001406,92.3
E02001407,91.1
E02001408,88.8
E02001409,85.9
E02001410,81.7
E02001411,87.4
E02001412,86
E02001413,86.6
E02001414,92.4
E02001415,82.8
E02001416,77.7
E02001417,78.3
E02001418,81.7
E02001419,73.8
E02001420,85.6
E02001421,84.7
E02001422,77.6
E02001423,88.8
E02001424,82.2
E02001425,84.6
E02001426,86.9
E02001427,82.4
E02001428,89.8
E02001429,87.7
E02001430,90.3
E02001431,88.8
E02001432,69.2
E02001433,80.2
E02001434,82.2
E02001435,76.9
E02001436,83.7
E02001437,88.8
E02001438,86
E02001439,84.3
E02001440,92.1
E02001441,90.6
E02001442,89.7
E02001443,90.1
E02001444,88.9
E02001445,88.9
E02001446,87.8
E02001447,88.1
E02001448,87.8
E02001449,84.4
E02001450,89
E02001451,77.2
E02001452,76.5
E02001453,88.8
E02001454,85.9
E02001455,85.3
E02001456,85.4
E02001457,75.7
E02001458,84
E02001459,78.7
E02001460,78.1
E02001461,83.4
E02001462,72
E02001463,76.4
E02001464,70.5
E02001465,70.1
E02001466,73.1
E02001467,85
E02001468,82.5
E02001469,87.6
E02001470,86.9
E02001471,75.8
E02001472,83.3
E02001473,82.6
E02001474,72.2
E02001475,78.2
E02001476,73.9
E02001477,70.4
E02001478,85.3
E02001479,90.7
E02001480,89
E02001481,84.7
E02001482,70.4
E02001483,88.8
E02001484,87.5
E02001485,78.9
E02001486,86.9
E02001487,72.5
E02001488,80.3
E02001489,92.4
E02001490,87.1
E02001491,77.5
E02001492,89.2
E02001493,73.3
E02001494,90.5
E02001495,82.3
E02001496,87.9
E02001497,78.1
E02001498,88
E02001499,91.4
E02001500,90.1
E02001501,90.5
E02001502,86.2
E02001503,90.9
E02001504,93.8
E02001505,86.2
E02001506,93.6
E02001507,92.2
E02001508,85.1
E02001509,86.6
E02001510,83.6
E02001511,86.4
E02001512,89.6
E02001513,90.8
E02001514,78.7
E02001515,81.7
E02001516,85
E02001517,88
E02001518,83.8
E02001519,83.5
E02001520,89.5
E02001521,69.3
E02001522,79.5
E02001523,82
E02001524,93.7
E02001525,72.3
E02001526,77.6
E02001527,88.8
E02001528,84.7
E02001529,84.3
E02001530,79.2
E02001531,82
E02001532,92
E02001533,84.4
E02001534,85.3
E02001535,91.8
E02001536,89.7
E02001537,87.7
E02001538,87.1
E02001539,78.6
E02001540,85.6
E02001541,82.8
E02001542,81.5
E02001543,83.2
E02001544,84.6
E02001545,91.3
E02001546,81.3
E02001547,80.8
E02001548,76.3
E02001549,88.8
E02001550,86.8
E02001551,80.7
E02001552,80.7
E02001553,77.5
E02001554,90.3
E02001555,89.9
E02001556,76.3
E02001557,71.8
E02001558,90.6
E02001559,90.4
E02001560,53.3
E02001561,67.8
E02001562,84.3
E02001563,88.8
E02001564,90.7
E02001565,90.6
E02001566,72
E02001567,79.6
E02001568,83.1
E02001569,79.1
E02001570,82.9
E02001571,87.3
E02001572,80
E02001573,84.6
E02001574,89.8
E02001575,83.7
E02001576,90
E02001577,92.3
E02001578,85
E02001579,86.6
E02001580,88.7
E02001581,88
E02001582,86.5
E02001583,84.5
E02001584,91.4
E02001585,80.6
E02001586,85.5
E02001587,83.1
E02001588,84.7
E02001589,92.4
E02001590,77.6
E02001591,70.9
E02001592,87.3
E02001593,63.3
E02001594,57.4
E02001595,90.3
E02001596,91.8
E02001597,83
E02001598,87.9
E02001599,92.6
E02001600,79.3
E02001601,88.7
E02001602,86.9
E02001603,86.9
E02001604,88.6
E02001605,90.5
E02001606,88.1
E02001607,88.8
E02001608,90.7
E02001609,92.1
E02001610,92.2
E02001611,87.8
E02001612,89.3
E02001613,87.9
E02001614,90.1
E02001615,92.3
E02001616,86.1
E02001617,75.1
E02001618,89.4
E02001619,79.1
E02001620,75.3
E02001621,75.6
E02001622,78.7
E02001623,71
E02001624,76.1
E02001625,76.6
E02001626,88.9
E02001627,82.8
E02001628,62.6
E02001629,72.1
E02001630,61.1
