postcode,measure_a,measure_b
NE10 0PD,31.33492075,157.3814328
NE15 8NY,6.195416077,32.33810516
SR5 3NS,32.14597495,185.0874083
TS17 6FB,28.72060977,130.1857338
TS23 3HB,27.65409455,159.2306366
TS1 3DP,24.51060862,69.40948604
TS17 6BH,30.97986678,170.2677345
NE1 7RU,20.72518682,89.91188276
DH1 5TS,14.51246285,99.40263961
NE28 9NZ,26.13489375,132.6410414
NE4 8XN,19.42466682,97.22554837
NE7 7LX,27.7206994,117.4123461
BN27 2AX,33.45067524,134.5350275
TS23 2NX,14.22253283,164.7105241
SR1 3SD,38.5068698,211.0123772
DH45QY,5.227356825,55.90826826
DL1 1JW,18.57520733,170.5894918
NE34 9PT,18.5725967,102.563581
NE12 8FB,15.49132281,46.95100069
NE28 6HS,23.51551787,102.5437652
TS24 7RZ,33.15536559,204.8024395
NE1 7RZ,48.89323144,156.2801267
SR6 7NT,12.9766278,113.3584688
NE47 7AN,35.63263069,73.40605399
NE11 9YG,38.69159774,163.1466219
NE8 4HA,26.75686847,148.7192263
DH3 3SJ,17.23765398,136.6398799
LE11 5HN,27.26431882,84.9519117
DN22 7WF,4.596167617,-45.44525928
WV2 3LQ,42.07386585,201.7050388
WS11 0BE,16.26456106,52.8610092
CV8 2LD,17.58241908,86.3903331
NG8 6PY,24.44683356,105.7074131
NG2 1AP,49.4803211,151.9311942
B60 3AJ,25.59291152,117.1049927
NG15 7SA,52.62507814,215.907258
SR7 9HU,14.83439509,168.4816762
B7 4LW,31.66650715,131.0359991
LE2 7SL,38.78359348,183.2875157
NN3 9HG,33.43204514,127.6012333
CH3 8AA,14.31589401,104.1934474
RH6 0PJ,18.79622426,63.33364049
RH6 0RN,17.70718227,39.85806929
MK9 2AD,2.834861465,-17.24263445
HP5 1LF,3.486831343,69.70653037
MK9 3BB,10.23514548,25.72901881
MK9 3JT,4.724733592,95.30860651
OL1 4AB,39.7966996,68.11701272
M26 2ST,33.43362781,118.442303
M2 3GX,27.25298828,66.48895126
OL1 1DJ,12.5059169,91.34652339
OL1 1UT,26.46302944,176.456682
M16 0GW,25.7776085,158.5981257
BL3 5DX,29.43725016,183.6454297
BL1 2DJ,29.40618701,143.9708322
M17 8AA,52.907914,226.5819929
M5 4WU,21.438713,84.45329962
M5 4WT,57.69964705,207.5121823
M6 5RL,58.241731,213.3690486
M15 6TT,17.55508813,121.5479491
MK9 1EB,31.17649372,189.3598496
MK9 1ES,4.035322902,47.69206335
MK9 1AU,29.59762743,194.1936008
MK9 2HQ,2.37838443,110.8960456
MK9 2NW,45.58174867,200.16066
MK11 1BE,30.77772201,74.33013477
MK9 3EJ,4.752433557,16.85794588
MK9 3NZ,26.8377156,196.1671226
MK9 3NE,15.6500514,93.68252743
MK9 3NT,3.04968114,53.83240781
MK9 2DF,3.466341809,-8.275783632
MK9 3HP,4.103514325,39.86946738
MK9 2AE,7.088382503,38.22152117
MK9 2AF,4.89028438,94.82408562
M4 1LQ,19.10841221,20.79107296
M1 3AY,13.74569224,-34.73605544
M15 6BH,94.45023587,305.6713111
M13 0FH,28.00667781,119.7866231
BL9 0EZ,22.34047224,85.89058154
BL9 7AZ,19.89457073,91.51673737
BL9 0BL,16.22449554,86.3735439
BL9 0LY,15.82271131,56.42899168
BL9 0EQ,13.19520985,15.93441871
BL0 9YQ,26.3712527,125.1672753
M25 1BT,17.24067597,188.0698288
BL5 3DG,16.16675219,125.6986789
BL6 7HX,14.6386451,73.76396352
M1 2WA,19.76786385,146.5936898
M1 5GG,33.43325182,236.8117419
M21 9QD,9.965926496,67.46875408
M21 8UW,12.25426984,56.78031336
M14 6XH,7.257305387,-29.47893435
M15 5EU,11.93832504,49.32374605
M22 4DN,15.13007338,50.71930954
M12 4DY,12.44141658,20.1187244
M9 0TZ,15.69861786,150.4896591
M1 6HX,17.96560875,121.6959152
M1 2EG,7.667456789,133.1261522
M1 2JZ,12.43077984,28.99581304
M1 2PZ,14.34865423,27.50179679
OL1 3AN,5.80485322,136.1829585
OL1 1LP,17.66768628,108.6877509
M35 9FB,24.33243404,40.8805135
OL4 3DH,22.91709016,124.7623713
OL9 6PS,29.71058254,45.41247756
OL2 8AB,12.83447425,57.18763285
OL16 9SA,19.78902438,-7.275575602
M24 6AE,34.07019468,182.9037797
M3 6AY,26.15034605,155.9480517
M44 6BR,19.33472434,52.44013987
M30 0EW,18.98713693,73.30553136
M6 8DD,32.64116327,125.6561087
M28 3JW,13.65301066,79.85734223
M7 2BD,18.8991289,81.33668582
M6 5FN,16.46761674,69.7241198
M3 5AQ,14.95984225,50.46792353
M5 4PE,20.63388365,136.5903278
M5 3EQ,7.139123432,84.69545514
SK1 3UR,10.24893091,26.72991378
SK1 1HL,8.578004981,81.70073922
SK1 1YD,26.28620586,35.20355473
SK7 2DG,17.54387288,110.8497304
SK4 1AQ,29.00535291,47.048398
OL6 7AN,15.96140795,100.4779907
OL6 6EF,26.77210325,139.6998563
M32 8LR,11.66993727,43.16596648
M41 6EY,59.26686341,218.7278152
WN1 1HZ,43.59385094,85.04753208
WN1 1YP,57.2688309,261.6681122
WN7 1YA,18.28198551,88.91901778
WN7 1AZ,38.93361639,169.8261181
WN7 1DB,47.29285007,164.1788602
WN7 1EQ,38.81519931,121.095249
WN7 4PD,19.34833694,108.8271449
OL9 7AA,52.63583712,241.4051678
M19 1RJ,41.77489427,206.8120309
SK16 4EB,10.41258063,61.76289382
SK15 1RQ,19.61846642,210.0025803
PE21 7QG,17.29399275,67.85440681
WV2 2QE,48.88114827,174.823068
CV1 5DG,14.57098069,207.0084482
ST1 3DX,15.9848478,27.5520926
LE2 6BE,22.20706522,45.46084766
S41 7HY,43.86604733,278.1172877
DE24 8BY,11.69970185,121.7848209
NG7 2GQ,32.06064714,174.0545213
DN31 2BA,13.1382221,121.3895549
WR14 3DS,30.56769752,167.1935967
CV34 5JB,14.65978466,62.77400121
ST4 4DD,35.37932706,149.4168686
B12 0LL,24.86443845,136.5994891
LE4 5QG,31.0141173,114.0680591
NN16 8TB,53.08796376,248.0976884
DE7 5FH,23.51888629,102.9977075
NN3 9HX,22.35173381,124.8135122
PE25 2LA,19.15086712,31.52412379
B31 2TS,23.39655907,106.6563575
B24 9HF,36.16666043,163.2278078
TF2 9NT,26.5340871,118.5964387
WS1 3BD,63.24052017,200.7678107
ST17 9HQ,21.32011127,95.23161253
ST17 4LF,15.32757497,107.3604567
TF3 3BD,36.81922101,216.4120256
S80 2QD,46.08084253,145.686179
HR2 8BT,63.9518763,180.4571725
CV4 8LX,30.93665962,102.119906
B19 3SD,13.33427674,54.91094306
LE11 1ND,57.81800782,177.6374896
CV4 8GP,23.00547433,50.68440925
NG11 6JZ,23.6811749,47.83236663
DN31 1UH,33.49253532,156.2685033
HR1 1LW,31.04363892,152.2408078
DN15 6PY,25.98558564,42.76959837
ST1 1PS,61.48313434,309.0678729
NN11 4FP,35.45253568,178.8587208
CV1 3HF,8.798360784,63.91895227
NG31 7DD,27.14088904,137.4554331
LN6 3RS,32.73166256,133.3274448
CV1 2TT,34.01926912,149.6434512
LE7 3ZL,32.93760838,138.208529
DE1 2FS,19.66842992,130.8683137
LE1 6PW,48.78640328,267.4202209
LE1 5TS,34.22190218,219.5127997
DN21 1DY,22.4111489,164.9627274
LN5 7LH,17.20172842,49.9750183
B17 9QE,37.87762308,153.4488139
B73 6EJ,22.13579291,152.704314
B13 8HJ,17.84819095,56.69095556
B14 7LB,24.45343381,64.89185756
B4 7ET,24.00890762,131.9005005
B27 7NS,33.1562819,220.8354549
B5 5BD,43.05231291,124.1729012
B5 4PJ,19.96008467,84.66178563
B5 6PA,25.96960507,157.5303012
B3 2BJ,24.49775144,-11.35491901
B5 4AF,42.68025583,148.9144562
B18 6LP,30.3064545,238.2886131
B4 7AP,22.79712384,99.83347398
B5 4BP,39.07885365,151.140011
B1 2NB,55.17154201,218.5343243
B2 5NY,38.10527989,196.1831399
B3 3BX,18.50185772,36.46054977
ST18 0GE,28.87315245,238.1100923
ST16 2QP,40.29533072,127.9541141
ST16 2AA,17.81673829,42.05537496
ST18 0AB,16.628137,122.320811
ST16 3SA,12.10690235,155.4394776
ST16 3UB,14.81557485,173.6465775
ST16 3AQ,48.54130285,294.0162437
HR6 8AE,31.44474444,157.516109
HR4 0LE,49.5214229,200.807337
HR9 7DB,31.18115638,204.1602774
HR2 7RQ,60.12740967,298.144697
HR1 2HH,55.5944018,213.5881093
HR5 3DP,35.13425923,170.3429064
LE15 6US,27.48700183,119.0282649
LN1 1DE,25.16792354,130.0751107
LN2 5AP,16.65725554,102.5617205
SY11 2HU,16.78028046,100.868313
CV37 6HB,22.81695003,145.0062496
CV37 6YX,36.95712275,218.6116132
WR9 8LB,25.10814198,112.6419088
CV10 7RH,20.48573642,122.8776879
WS13 8RY,23.14970708,154.2060036
PE21 7NU,31.24062306,129.3382636
NG18 4TR,36.44100083,231.754465
B4 7XH,42.12548819,66.19461525
LE15 6AA,16.82796991,118.2459544
B91 1LE,11.88342432,65.68749218
PE21 6PA,26.43741964,207.2750488
B78 1HA,21.18587262,79.02853681
B30 1QY,17.50078149,49.95170316
CV1 3AZ,26.22037379,70.92755309
CV1 2RN,32.35547304,152.4239938
CV6 7NS,43.77756592,199.7554593
CV1 2GX,39.73000839,194.8630092
B28 0BY,45.15686395,111.6666142
DE1 2PQ,27.18050159,102.0236254
WR5 2NP,26.79251051,29.14948887
WV1 1AD,66.90267675,357.8190696
NG1 3QN,50.82252319,252.419395
SY1 4PP,48.64557156,262.5113817
NN17 5AF,29.09557445,168.7002541
NN17 2FB,33.56320074,130.408371
LE16 8TG,28.20533326,177.8447723
NN18 8ET,16.33458714,108.015279
NN17 5XY,31.37466064,192.9826362
NN18 8AL,21.65193695,125.7552441
NN17 5XZ,13.55416313,-50.50248378
B72 1SY,21.53295564,57.91949093
NN17 5QW,22.51418857,136.7767101
NN17 5JF,15.49300802,43.80569687
B31 2NN,25.93797747,97.00965411
DH1 5UQ,23.36097933,126.220559
TS23 3QJ,19.80886349,110.7512851
TS15 9EH,17.03461272,105.0277116
DH1 3LE,41.35911114,256.4397567
DL16 6JQ,37.02363489,234.7838727
SR2 9TE,18.03897311,11.39185759
DH4 6JN,29.69281395,106.7958484
NE8 3DF,17.16474625,116.7932426
NE31 1SR,10.37412288,185.3576301
NE28 9NT,38.88388443,131.0598901
NE22 7LA,28.07179776,41.66236546
NE5 4AW,17.0307246,54.23609155
DH3 2QX,9.24620669,78.29741482
NE7 7XA,49.03579903,183.9918759
NE23 1WG,34.81937937,208.7362351
NE61 2EF,15.94335891,69.4389063
NE11 0UE,33.44607838,172.8455059
NE1 8ST,34.16064819,187.3567492
NE63 8QW,13.84984422,67.40882429
TS24 7QS,23.08370613,126.3671338
DL1 1YN,21.517565,-27.81322387
TS147FD,6.662663163,97.72068284
TS18 3DZ,14.16663328,109.1949458
TS10 4RF,17.82184994,127.3460687
DH9 7XN,19.28557003,146.3986722
SR5 3QY,46.30046525,190.5272916
SR5 3HZ,23.20622768,148.9881171
TS2 1AD,24.95575517,151.7146172
DL16 6NL,15.07944323,131.4223176
SR5 3NT,17.81871598,135.911791
NE12 6QN,25.02333536,83.46025135
NE11 0QD,9.739614094,98.25554872
NE1 4SE,18.59354568,88.78480974
TS3 6RT,12.222915,123.0603643
TS4 2AF,13.62283497,69.30130814
DH9 7RU,14.31779314,100.9385909
NE28 9ND,17.57336016,115.3809583
NE24 5BW,31.28442968,92.86195987
NE34 9QE,12.77254105,149.7650735
TS18 3SH,9.208035988,118.0858471
NE11 0QA,5.579032774,163.5087229
NE3 3TR,13.70861501,70.51629468
DH1 1TW,35.82628325,172.6569136
NE32 3DP,34.4402682,106.988279
NE1 4BF,13.84489222,64.83893517
DL3 6HX,40.57163887,167.7859964
TS23 3TA,41.32737488,207.8623327
TS22 5EG,35.1029237,172.988763
TS17 9JP,19.04973391,118.9627376
TS19 8RH,14.00583719,26.37377764
TS17 9HA,13.18106596,29.72484183
NE3 3XT,18.51151047,77.39461865
NE61 3BP,12.46657661,32.11862256
SR4 7TP,38.43075724,209.2139459
SR2 9HP,35.04306529,211.5850349
DL2 2TS,23.10653806,148.2451252
NE46 1XW,28.87656067,105.5770228
NE12 9SZ,30.70438249,137.8500156
NE1 4LP,20.93880389,126.6905322
DH1 3UP,14.2430251,152.6797528
DH1 1SZ,30.77662543,68.51911762
NE11 0HG,17.48658686,85.44354033
NE2 1PX,25.53275227,128.9500961
DL15QT,27.06679312,48.42868117
NE10 0AZ,9.817081362,156.8314082
NE23 7RH,46.55313721,216.4254665
TS18 2RJ,15.55662878,-26.43732978
NE16 3BL,22.7631155,177.2431418
NE2 1AL,23.87271014,13.66497705
NE6 2SZ,10.86784482,43.16707274
TS24 8AY,17.36974297,90.65758493
NE1 3RQ,10.61270463,-21.32723559
TN34 3AE,21.53118071,93.67249889
NE8 2JR,24.91109361,127.5583823
NE49 9PJ,24.75954298,94.76559661
NE47 6NN,17.56953121,119.6918429
NE46 1BS,44.21665363,248.4183227
NE48 2BZ,13.15292756,-22.99884168
NE48 1AE,10.54458426,108.0287297
NE65 7BQ,16.34886343,92.87320058
NE30 1DB,11.80372696,113.8939007
TD15 2NS,27.58084702,137.4638297
NE48 3LS,14.4492265,7.894713635
TS18 3RH,25.60378814,107.879722
NE11 9PY,11.62002125,82.0219263
NE47 8DQ,11.04992758,95.77784257
NE19 1TJ,32.78388749,149.0992178
NE71 6BY,27.47629665,151.5648907
NE13 6BZ,18.00650739,79.44703159
NE11 0BE,25.21196251,140.606561
NE1 1PG,45.14440092,66.90168276
NE1 3RF,20.33586488,111.1099291
NE1 6AE,23.27171333,150.8737807
SR6 7UW,26.24645677,37.98910311
NE657PX,12.81152858,30.54561361
NE6 2US,26.14039325,43.53379539
DH4 4DN,36.53390851,221.717021
TD15 2TR,20.98163976,68.51828109
SR6 0PN,13.62542783,80.30514334
SR11UL,41.04799937,35.83245071
SR3 2QY,19.02457289,155.9763758
NE30 4JF,15.07897382,123.4538846
TS21 3JG,13.93773537,135.2478661
NE9 6DA,16.20638241,101.3938321
NE16 4AB,17.83492009,119.162394
DH1 5RA,16.82591872,21.15463014
DH1 3TQ,23.82910824,203.0732633
SR1 1ES,5.945213441,20.50469341
NE2 4NL,16.32143783,151.9103535
NE1 1UG,9.525451899,126.9917134
NE1 2AF,7.018519083,32.22421075
NE6 5LS,18.95738963,118.2022959
LE4 7SJ,23.05161801,179.5475456
SE12 9QR,15.09452725,103.8493757
W1S 4BS,9.568988108,57.57240243
NW9 0AS,17.94010078,18.53342149
RM9 6SJ,8.509962148,-31.47957335
KT2 6QL,17.52273483,43.82656918
SW15 3DT,17.67063435,88.25403108
HA9 9EX,15.90952395,123.1729058
EC4V 4BQ,15.43312494,106.2463911
N1 4BY,13.83477723,42.01985196
W9 1JB,16.46016655,9.592358114
N6 6DD,10.34461414,56.27550841
KT3 4AH,13.18545092,118.1641163
SE10 8UP,16.95719429,47.31659855
UB3 2HW,23.32797211,94.97346883
UB7 7LT,18.42561831,66.3231084
KT9 2RT,7.849162232,61.7990416
N1 5JU,30.59424457,112.7693717
N22 6JA,32.27187199,183.529423
SE18 6SN,17.36269601,109.6485359
SE18 6YU,17.88991077,107.0639431
W1D 3BX,8.183311534,75.02325021
KT1 2PW,31.04358277,154.9052215
UB8 1ND,18.71162694,159.6672208
W6 9NT,19.97294822,65.35360689
KT6 4RF,17.20672436,94.05087396
SE13 6BT,40.69876388,63.29211009
W9 2PH,13.50027823,37.46902167
SE1 8XU,24.05231793,103.0206294
SE1 0EP,9.796403985,111.7876914
SW17 0QW,18.83332558,109.8596013
N8 8HJ,36.65765534,124.8381273
SE15 4BX,9.43129249,156.2456193
WC1N 1DA,16.13151526,-22.71761389
SE22 8PP,9.848302336,44.11760184
SW1W 9BG,12.29253603,21.17402066
KT18 7JX,26.40395937,140.9226732
KT1 2PS,16.40185931,153.2632453
UB7 8EY,25.28701208,46.46202748
NW3 2QX,13.0527492,99.57838675
SW1P 1QP,23.56930554,94.20172285
RH6 0NP,41.26470077,95.49205415
EN2 6EL,8.6062478,6.61430497
UB8 1LN,11.65246755,100.9502649
NW6 3LR,15.70093074,31.98915149
NW1 0ND,14.61768716,51.88849248
WD17 2UB,20.77955459,73.39597058
HA1 2XY,26.45335452,164.7038912
SL1 1QE,29.01883807,36.22839037
TW6 1RU,19.35795044,85.57912965
TW6 1QG,39.05745038,147.6649536
TW6 3YD,30.69403357,171.7982337
TW6 2GA,18.55581872,16.67488529
CR8 2AY,18.74661956,139.4299729
UB8 1ES,44.01491172,246.7126875
SE6 4TW,12.6243773,65.03208457
KT9 1AF,21.2428995,135.272087
SE10 9HG,22.97344763,162.4942008
SW1P 2AA,13.30458972,113.6854327
SE1 2LN,20.00099433,37.09482265
IG1 1EQ,24.9649541,68.77608785
NW9 9EF,17.29194109,53.97397377
KT1 2RA,41.2299246,207.3177577
KT1 2EH,21.29056017,53.6769083
SW153DU,30.0897913,176.9989876
SE14 5TN,15.27334176,63.55172381
RM20 2ZP,32.20134188,195.5651162
SL3 8BA,17.83678365,136.1681378
EC1A 4HY,44.22507897,241.4128751
KT19 8EU,19.70583082,37.33087971
CR8 2UD,41.15356232,248.5855087
SW1P 3RX,19.7375084,64.4670977
W1G 9HF,24.15228299,213.6041088
W1K 7TY,32.73316991,145.4458311
SW1A 2TS,13.72909485,89.48324624
WC2H 7PR,26.79845211,126.0954587
E6 6JF,13.46083224,57.3876279
SW18 4AD,15.0005797,-9.935214773
N22 6DF,23.69968646,153.8249127
EC1A 9DS,23.07313887,90.02707226
WC2E 7HE,24.00443959,102.8599256
W9 1RX,20.30938009,54.87747241
WC2R 2PG,8.190770268,112.1812552
EC3R 6DT,26.08411597,43.43945848
W12 7SL,27.09216477,69.05825037
E20 1EJ,23.68993888,79.05857969
N19 5NG,46.16835763,213.2977336
PE26 2SW,18.57938551,93.86153705
W4 4AL,23.82531866,70.34741511
DH1 5GD,22.88578568,97.71374303
TW3 4DN,38.37837358,159.9904309
TW18 4WB,22.22524473,87.77990982
SK3 0RB,16.53600597,68.89138652
GU2 8XH,29.11655696,178.3946743
OX14 4RY,23.37724924,113.5777205
OX26 6EF,39.73381794,172.3921712
HP18 0PS,34.41581821,237.2220713
SS15 6TP,12.48083787,101.3343161
HU4 7RA,23.97774514,189.1245672
HX1 1SB,13.35939628,65.01278834
NE7 7JW,28.86048572,101.3163775
BA2 5RF,15.22964958,97.49815359
CH65 9LF,12.99982488,86.74423501
CB7 4AS,14.4710568,-0.112373025
NG18 1BW,12.88359004,18.61239815
EX7 0SB,14.27652742,62.87363536
TD15 2PA,33.90653714,143.7015418
NE10 0EF,44.1073422,163.6962465
NE46 3PD,27.64420799,77.9941637
NE66 2JH,41.74646039,243.0748651
TS22 5TB,7.90051636,16.47771434
TS18 3FB,24.62234977,139.0170603
DH1 1SR,25.92748292,134.1690164
DL1 3NL,11.04214581,65.62073314
DL12 9SE,22.318468,30.78573572
WS13 6RX,12.7730211,98.39412133
MK10 9RU,4.675972328,69.47166824
MK9 1LR,9.678766534,87.48329903
MK9 3XS,35.08124906,96.31832796
MK15 0DQ,4.89585061,64.47818197
GL50 4SH,7.006664206,38.79401178
MK18 1AF,3.905821874,42.88844635
MK41 0GL,7.619408228,8.610872622
OX9 2JW,6.04783944,35.06965498
CB23 6EF,6.194609631,133.599855
CB23 6BW,5.70866964,118.5936508
LE4 5QU,12.31576242,126.8154458
CO4 5UP,37.27007236,180.5804885
CM7 1RB,10.87359596,-27.54828416
CB11 3EG,28.74138626,122.4617805
N1 7ED,20.85605042,137.4332765
CR0 4UZ,8.777061581,189.360107
NW10 0TH,14.50678556,-26.60928665
E16 1GB,25.3767418,70.26806229
PL6 8AY,16.48841877,90.72063242
CV34 6RH,38.53679421,152.2940255
M1 5GE,24.9229355,143.4070268
M11 3FF,16.84711928,82.65844475
TS18 2HW,18.62298338,88.82932092
SN15 3HZ,15.50880427,59.68804145
SN13 0HH,21.41453176,107.6961887
BA12 9BP,13.83697556,81.70811995
BA14 8EA,12.39067637,95.66898143
SN12 6HB,11.97003628,91.76466158
SP1 2DQ,15.75257115,37.47684032
NE48 1HX,21.50301519,95.73783952
TS24 7NT,19.11843049,180.5687906
SR3 1PD,38.73998029,57.20168597
DL14 6JZ,27.54310808,153.0132563
TD15 1LT,14.37251825,67.58474382
NE66 2NS,21.59794999,42.08836681
TS11SR,16.48176274,130.3190326
TS15UB,10.76661637,29.07317581
TS18 1TH,21.71830665,97.61546725
NE41 8DU,35.55878909,108.0687504
TS2 1QG,17.0999935,202.2829196
NE6 4QD,31.5688146,198.5846776
SR5 3JN,15.89038672,11.38201391
NE63 9YF,13.34633564,90.19363285
SR5 1JE,14.15728294,66.89353876
DH5 9NE,10.95631057,97.10286798
NE38 8EB,16.93487939,145.8225129
NE67 5DN,13.24560011,100.1288774
NE716QE,20.78429064,40.89175288
DH9 7XP,32.72894814,160.7723396
NE11 0XA,42.87685034,296.2095296
NE46 4AG,23.0276622,144.979341
NE48 1DD,18.71998846,116.9051674
DH1 2NG,34.44594623,141.0260024
NE29 8NH,45.07699797,216.8406211
NE63 9JJ,19.40996873,21.15622703
NE46 1QJ,32.95202284,221.5775334
TS17 8AA,9.716559706,67.48103306
TS17 9DB,13.41704827,132.3914501
NE19 1NS,18.36489662,153.0574563
NE13 8BZ,17.63169472,43.69440399
DL1 5RN,17.33828099,-48.83965206
DL11ND,18.55914256,136.6256672
DL1 1DR,9.81461677,26.96507136
NE16 6BE,9.355095809,139.7565091
DL12 0XF,25.90837625,133.4915984
DH4 4NF,33.97653003,95.02521162
NE8 1AX,15.05299914,40.95350132
DH1 1SQ,16.37339128,96.09718194
TS23 2LJ,19.65685483,159.6451577
NE10 0TE,8.333373916,56.75491455
NE33 2LD,9.038157354,64.56288732
TS4 3PZ,13.63586907,60.89611333
NE1 4DD,11.73404459,95.26936849
NE3 1HB,33.4665246,88.18817704
NE1 6PF,8.736367599,88.14802114
NE1 5PF,40.61899602,190.0733127
NE1 4AE,33.15359542,136.5963721
NE1 3UG,36.96154453,203.6063318
NE26 1QF,23.80288462,118.9642305
NE37 2AS,35.14967292,207.4157509
NE33 1ES,10.02447398,-31.15207214
DL12 0JY,13.00922035,52.2415909
SR4 9JT,12.67102037,65.58563543
TS18 2NY,32.46978199,171.5991078
DH4 5AH,20.99536478,167.0709597
DH3 2TB,24.7747527,86.48722143
NE48 2BS,6.037184999,55.76902863
DH9 6AN,11.33901163,90.85921859
NE30 2HA,29.72226093,110.8038262
NE13 8DF,44.24647629,272.6605233
DH9 0TE,16.97569432,79.49545024
DH8 5QU,17.60045725,117.3445929
NE20 9PZ,22.71878052,152.4220632
NE24 2EF,16.6273475,149.2445573
NE61 6JN,16.81241311,143.2692241
SR5 2HN,13.80721465,110.3895895
SR2 9QU,10.43334371,46.36673347
NE18 0LL,16.29269054,201.1680218
TS14 8HD,20.64857732,101.102806
DL12 9SL,13.76821685,145.5975051
NE46 3HN,8.292808246,70.82230198
NE32 3DY,11.05405073,97.94861682
NE9 5AX,10.69512132,143.9245307
NE17 7TQ,46.20606272,260.0385676
DH3 3TF,12.13369509,102.2093029
NE1 4DP,32.95931868,182.3195385
NE32 3JS,22.69046372,240.0717511
NE3 1NH,9.41968631,46.51180893
NE4 6AH,11.65074119,-17.16257628
NE1 4JA,15.3765464,70.5074933
NE1 2JS,17.54024151,158.9202368
SR7 7EU,18.18152648,76.29644304
DL14 7QW,11.14397198,-5.756464443
NE99 2BN,19.83378618,122.879214
DL5 4DP,14.40907564,41.88630382
NE4 7AP,20.92049697,49.70520879
NG11 8NS,36.94507284,148.160525
NG1 5JD,46.71571574,277.2519849
NG25 0QF,54.9923063,268.1311386
DT1 1XJ,29.57540907,141.4335956
NE24 5TF,20.17280591,64.24427739
NG18 3HG,33.9111261,109.5822505
WV2 2PT,48.58401102,202.9499931
BH7 7DW,15.64555993,44.64440007
M25 3BL,11.57842488,110.1411209
CM23 3BL,30.16083543,197.7732823
EN10 7AW,20.14810027,110.6204099
EN8 9TL,24.65656821,21.68660344
