area_code,measure
E09000023,102777
S12000023,6211
S12000036,201181
W06000001,15118
N09000007,55221
E06000006,53332
E06000034,66404
E07000109,39287
E07000115,46841
E07000127,41808
E07000134,37240
E07000147,26971
E07000194,38121
E07000208,30336
E07000226,43682
E08000005,81285
E08000008,85437
E09000009,127596
S12000049,256946
E06000007,83680
E06000018,117368
E06000031,80038
E06000035,101450
E07000009,29899
E07000045,43834
E07000083,32160
E07000128,39849
E07000215,32170
E07000218,23228
E07000243,32414
E08000013,72281
S12000005,21764
S12000048,52010
W06000011,69368
E06000037,54687
E06000047,198334
E07000044,27214
E07000071,71048
E07000084,64301
E07000116,40991
E07000176,45360
E09000017,109568
